"Table 27: Medicaid Enrollment, 1991-2014 (in Thousands)",,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/state of residence,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,"Average
Annual %
Growth
(1991-2014)",,
United States,"25,939","28,465","30,528","31,667","32,338","32,182","31,850","31,390","32,152","34,149","36,770","40,384","42,955","44,532","45,816","45,557","45,608","47,242","50,913","53,961","56,235","58,141","58,974","65,548",4.1%,,
New England,"1,425","1,209","1,264","1,249","1,293","1,303","1,333","1,411","1,449","1,487","1,589","1,761","1,684","1,734","1,777","1,803","1,856","2,050","2,194","2,365","2,606","2,780","2,847","3,252",3.7%,,
Connecticut,319,282,299,316,332,338,337,342,351,356,374,412,430,444,445,443,454,477,510,606,662,705,741,868,4.4%,,
Maine,141,152,156,157,155,156,153,155,159,164,220,305,236,253,263,270,294,296,308,325,338,326,319,315,3.5%,,
Massachusetts,698,460,516,513,513,514,539,602,607,614,642,673,630,641,671,689,708,867,932,960,"1,128","1,277","1,312","1,542",3.5%,,
New Hampshire,51,61,66,72,80,80,79,78,83,83,84,91,101,106,109,111,114,118,129,136,138,139,137,144,4.6%,,
Rhode Island,152,187,154,109,127,124,122,125,136,149,145,151,157,161,162,162,160,155,164,175,174,164,167,207,1.3%,,
Vermont,64,69,73,81,86,92,103,109,113,121,125,128,129,129,128,127,127,138,152,163,166,168,171,176,4.5%,,
Mideast,"4,561","4,903","5,210","5,456","5,588","5,684","5,820","5,443","5,630","5,556","5,717","6,370","6,808","7,161","7,565","7,566","7,509","7,741","8,351","8,893","9,317","9,543","9,781","10,520",3.7%,,
Delaware,49,55,62,65,68,75,80,83,91,99,108,117,126,135,141,145,146,155,169,186,202,211,214,218,6.7%,,
District of Columbia,101,108,119,123,116,128,129,119,124,126,124,127,132,137,139,140,141,140,148,175,202,211,217,242,3.9%,,
Maryland,365,396,417,438,456,567,761,473,510,480,503,536,581,609,620,602,596,619,721,811,885,940,975,"1,143",5.1%,,
New Jersey,574,632,673,694,710,709,694,681,664,682,696,706,726,741,764,798,813,827,865,912,975,"1,013","1,014","1,483",4.2%,,
New York,"2,318","2,441","2,589","2,714","2,774","2,751","2,732","2,667","2,793","2,790","2,903","3,444","3,736","3,928","4,195","4,161","4,090","4,169","4,495","4,754","4,915","5,022","5,189","5,286",3.6%,,
Pennsylvania,"1,154","1,270","1,350","1,422","1,464","1,454","1,424","1,421","1,447","1,378","1,382","1,438","1,506","1,611","1,706","1,720","1,724","1,830","1,953","2,056","2,139","2,147","2,172","2,150",2.7%,,
Great Lakes,"4,476","4,761","4,943","5,065","5,033","4,828","4,618","4,463","4,381","4,571","4,934","5,382","5,871","6,233","6,557","6,593","6,745","7,132","7,742","8,348","8,556","8,786","8,915","9,884",3.5%,,
Illinois,"1,307","1,396","1,476","1,557","1,591","1,554","1,517","1,446","1,345","1,390","1,454","1,594","1,752","1,864","1,968","1,893","1,964","2,190","2,357","2,489","2,576","2,674","2,704","3,105",3.8%,,
Indiana,362,433,474,498,508,460,447,459,519,575,636,679,705,742,770,787,805,852,926,978,979,"1,015","1,041","1,070",4.8%,,
Michigan,"1,108","1,124","1,168","1,178","1,149","1,123","1,094","1,084","1,068","1,062","1,131","1,210","1,278","1,377","1,447","1,489","1,547","1,586","1,701","1,894","1,934","1,879","1,881","2,110",2.8%,,
Ohio,"1,230","1,326","1,330","1,333","1,293","1,219","1,124","1,060","1,024","1,067","1,228","1,347","1,471","1,523","1,610","1,648","1,644","1,679","1,801","1,937","2,001","2,158","2,233","2,559",3.2%,,
Wisconsin,469,483,494,498,492,471,436,415,425,476,484,552,664,726,762,777,785,826,956,"1,050","1,067","1,060","1,055","1,039",3.5%,,
Plains,"1,425","1,519","1,658","1,724","1,786","1,799","1,779","1,776","1,848","1,963","2,105","2,240","2,322","2,406","2,415","2,371","2,386","2,432","2,613","2,783","2,985","3,065","3,089","3,318",3.7%,,
Iowa,220,229,237,248,244,238,242,249,223,227,248,267,283,300,312,348,361,381,420,452,481,506,518,606,4.5%,,
Kansas,176,143,190,176,206,200,188,179,189,199,214,230,249,261,270,273,268,271,288,317,339,350,355,352,3.1%,,
Minnesota,358,386,412,435,450,479,469,449,457,470,500,530,563,579,590,595,610,628,694,743,852,891,908,"1,053",4.8%,,
Missouri,469,527,575,621,639,628,619,629,688,765,822,870,908,941,918,827,817,819,853,900,938,932,917,910,2.9%,,
Nebraska,113,127,132,133,136,142,152,161,175,181,194,204,176,182,179,182,183,183,197,201,204,213,217,213,2.8%,,
North Dakota,37,51,53,51,50,49,47,45,45,46,48,54,55,53,53,52,52,54,60,65,65,65,65,76,3.1%,,
South Dakota,51,57,59,61,62,63,62,63,70,74,80,85,89,91,93,94,96,96,101,106,107,108,108,108,3.3%,,
Southeast,"6,112","7,074","7,734","8,009","8,456","8,299","8,308","8,376","8,652","9,045","9,912","10,562","11,106","11,450","11,724","11,456","11,143","11,542","12,447","13,054","13,576","14,050","14,361","15,231",4.0%,,
Alabama,384,439,469,477,464,494,495,505,527,554,643,711,755,788,814,774,737,765,811,863,922,942,964,988,4.2%,,
Arkansas,241,265,272,270,275,281,294,336,385,410,457,512,571,597,625,616,565,562,582,594,600,599,606,812,5.4%,,
Florida,"1,075","1,456","1,666","1,622","1,540","1,391","1,507","1,487","1,568","1,727","1,929","2,082","2,163","2,185","2,273","2,233","2,135","2,313","2,680","2,874","3,100","3,288","3,406","3,534",5.3%,,
Georgia,681,789,861,936,980,983,962,952,944,917,"1,023","1,139","1,282","1,342","1,387","1,320","1,246","1,292","1,416","1,472","1,514","1,577","1,596","1,685",4.0%,,
Kentucky,470,511,535,545,549,548,536,526,524,551,577,600,631,650,659,671,682,692,733,756,768,771,776,"1,058",3.6%,,
Louisiana,569,599,622,635,633,615,587,578,608,638,691,767,821,867,905,913,887,933,991,"1,055","1,084","1,127","1,136","1,128",3.0%,,
Mississippi,427,416,455,452,449,440,420,410,440,488,565,594,611,659,668,629,603,612,626,639,653,653,661,683,2.1%,,
North Carolina,591,692,766,821,879,905,917,917,928,974,"1,067","1,122","1,178","1,222","1,251","1,293","1,311","1,366","1,469","1,539","1,581","1,628","1,650","1,649",4.6%,,
South Carolina,310,354,394,422,441,458,485,553,586,631,702,758,836,813,813,748,705,705,739,776,816,875,937,922,4.9%,,
Tennessee,723,822,904,988,"1,372","1,336","1,316","1,288","1,336","1,360","1,458","1,442","1,365","1,374","1,333","1,240","1,250","1,251","1,277","1,294","1,316","1,323","1,325","1,348",2.7%,,
Virginia,407,476,523,560,576,573,557,541,540,534,535,553,595,650,687,700,701,723,782,840,868,912,944,928,3.7%,,
West Virginia,234,253,268,282,298,276,231,282,267,260,267,283,297,303,308,318,320,327,341,351,355,354,359,495,3.3%,,
Southwest,"2,300","2,694","2,944","3,129","3,187","3,163","3,045","2,954","3,021","3,180","3,455","4,065","4,617","4,877","5,034","5,046","5,253","5,423","5,926","6,226","6,424","6,724","6,757","6,960",4.9%,,
Arizona,347,412,459,485,490,495,476,459,463,506,619,819,964,"1,031","1,095","1,072","1,114","1,186","1,350","1,235","1,155","1,340","1,345","1,388",6.2%,,
New Mexico,134,151,161,208,234,246,259,264,291,312,333,374,401,418,405,399,408,435,462,525,542,560,568,702,7.5%,,
Oklahoma,272,304,316,322,324,308,279,299,373,408,437,455,481,489,505,531,556,559,616,673,699,734,748,735,4.4%,,
Texas,"1,548","1,827","2,007","2,114","2,139","2,114","2,030","1,932","1,893","1,954","2,065","2,417","2,770","2,939","3,028","3,045","3,176","3,243","3,498","3,793","4,027","4,090","4,095","4,136",4.4%,,
Rocky Mountains,469,541,585,610,615,592,552,570,589,636,694,767,851,901,940,942,919,939,"1,054","1,166","1,254","1,289","1,306","1,542",5.3%,,
Colorado,216,249,265,272,272,265,259,255,261,284,305,335,366,388,412,421,413,430,490,551,591,610,617,845,6.1%,,
Idaho,58,73,82,90,92,90,83,83,90,109,129,142,154,163,167,170,169,165,178,191,213,219,222,218,5.9%,,
Montana,62,66,71,74,75,74,69,67,69,71,76,79,83,86,86,84,82,82,88,103,107,110,115,113,2.7%,,
Utah,103,118,129,136,137,126,107,131,133,134,141,159,192,205,213,206,197,203,234,253,274,282,283,296,4.7%,,
Wyoming,30,35,37,38,38,37,35,35,36,37,43,51,57,59,62,61,59,59,64,68,69,68,68,69,3.7%,,
Far West,"5,172","5,764","6,190","6,425","6,379","6,515","6,395","6,395","6,584","7,711","8,363","9,238","9,697","9,770","9,806","9,780","9,796","9,983","10,587","11,127","11,517","11,903","11,919","14,841",4.7%,,
Alaska,39,48,56,65,66,62,53,63,66,71,75,79,82,84,87,90,88,88,94,103,109,111,111,113,4.7%,,
California,"4,339","4,811","5,133","5,279","5,206","5,279","5,094","5,000","5,158","6,220","6,780","7,498","7,914","7,977","8,005","7,992","8,045","8,166","8,602","8,892","9,127","9,455","9,424","11,505",4.3%,,
Hawaii,78,87,94,78,39,40,60,143,165,154,150,156,166,174,179,179,176,184,206,228,242,251,257,291,5.9%,,
Nevada,53,67,76,86,94,94,86,92,100,104,114,149,171,185,178,175,178,192,223,268,295,308,322,428,9.5%,,
Oregon,210,238,268,305,309,338,375,376,381,392,423,454,422,418,405,396,381,399,449,519,596,621,627,964,6.9%,,
Washington,452,512,563,611,665,702,726,720,714,770,822,903,942,931,953,948,928,954,"1,013","1,117","1,148","1,157","1,177","1,539",5.5%,,
NOTE: Numbers may not add to totals shown because of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE: Centers for Medicare and Medicaid Services, Office of the Actuary, National Health Statistics Group.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
